source_family,conference,year,committee_type,source_url,final_url,status,local_html_path,rows_found
Public PC/review page,POPL,2019,,https://popl19.sigplan.org/committee/popl-2019-research-papers-program-committee,https://popl19.sigplan.org/committee/popl-2019-research-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2019_pc_2026-06-09.html,52
Public PC/review page,POPL,2020,,https://popl20.sigplan.org/committee/popl-2020-papers-program-committee,https://popl20.sigplan.org/committee/popl-2020-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2020_pc_2026-06-09.html,54
Public PC/review page,POPL,2021,,https://popl21.sigplan.org/committee/POPL-2021-research-papers-program-committee,https://popl21.sigplan.org/committee/POPL-2021-research-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2021_pc_2026-06-09.html,52
Public PC/review page,POPL,2022,,https://popl22.sigplan.org/committee/POPL-2022-popl-research-papers-program-committee,https://popl22.sigplan.org/committee/POPL-2022-popl-research-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2022_pc_2026-06-09.html,56
Public PC/review page,POPL,2023,,https://popl23.sigplan.org/committee/POPL-2023-popl-research-papers-program-committee,https://popl23.sigplan.org/committee/POPL-2023-popl-research-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2023_pc_2026-06-09.html,84
Public PC/review page,POPL,2024,,https://popl24.sigplan.org/committee/POPL-2024-popl-research-papers-program-committee,https://popl24.sigplan.org/committee/POPL-2024-popl-research-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2024_pc_2026-06-09.html,91
Public PC/review page,POPL,2025,,https://popl25.sigplan.org/committee/POPL-2025-popl-research-papers-program-committee,https://popl25.sigplan.org/committee/POPL-2025-popl-research-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2025_pc_2026-06-09.html,82
EPC/ERC page,ICFP,2017,EPC,,,no_page,,0
EPC/ERC page,ICFP,2018,EPC,,,no_page,,0
EPC/ERC page,ICFP,2019,EPC,,,no_page,,0
EPC/ERC page,ICFP,2020,EPC,,,no_page,,0
EPC/ERC page,ICFP,2021,EPC,,,no_page,,0
EPC/ERC page,ICFP,2022,EPC,,,no_page,,0
EPC/ERC page,ICFP,2023,EPC,,,no_page,,0
EPC/ERC page,ICFP,2024,EPC,,,no_page,,0
EPC/ERC page,ICFP,2025,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2017,EPC,https://2017.splashcon.org/committee/splash-2017-oopsla-external-program-committee,https://2017.splashcon.org/committee/splash-2017-oopsla-external-program-committee,fetched,step_1_data/raw/oopsla/researchr_epc_htmls/oopsla2017_epc_2026-06-09.html,28
EPC/ERC page,OOPSLA,2018,EPC,https://2018.splashcon.org/committee/splash-2018-oopsla-external-program-committee,https://2018.splashcon.org/committee/splash-2018-oopsla-external-program-committee,fetched,step_1_data/raw/oopsla/researchr_epc_htmls/oopsla2018_epc_2026-06-09.html,26
EPC/ERC page,OOPSLA,2019,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2020,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2021,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2022,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2023,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2024,EPC,,,no_page,,0
EPC/ERC page,OOPSLA,2025,EPC,,,no_page,,0
EPC/ERC page,PLDI,2017,EPC,https://pldi17.sigplan.org/committee/pldi-2017-external-program-committee,https://pldi17.sigplan.org/committee/pldi-2017-external-program-committee,fetched,step_1_data/raw/pldi/researchr_epc_htmls/pldi2017_epc_2026-06-09.html,22
EPC/ERC page,PLDI,2018,EPC,https://pldi18.sigplan.org/committee/pldi-2018-external-program-committee,https://pldi18.sigplan.org/committee/pldi-2018-external-program-committee,fetched,step_1_data/raw/pldi/researchr_epc_htmls/pldi2018_epc_2026-06-09.html,20
EPC/ERC page,PLDI,2019,EPC,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-program-committee,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-program-committee,fetched,step_1_data/raw/pldi/researchr_epc_htmls/pldi2019_epc_2026-06-09.html,20
