plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,0,2023,OOPSLA,5.0,21.0,0.23809523809523808,23.809523809523807,1.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,0,2023,PLDI,7.0,21.0,0.3333333333333333,33.33333333333333,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,1,2024,ICFP,1.0,26.0,0.038461538461538464,3.8461538461538463,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,1,2024,POPL,9.0,26.0,0.34615384615384615,34.61538461538461,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,1,2024,OOPSLA,9.0,26.0,0.34615384615384615,34.61538461538461,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,1,2024,PLDI,7.0,26.0,0.2692307692307692,26.923076923076923,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,2,2025,ICFP,4.0,14.0,0.2857142857142857,28.57142857142857,1.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,2,2025,POPL,2.0,14.0,0.14285714285714285,14.285714285714285,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,2,2025,OOPSLA,8.0,14.0,0.5714285714285714,57.14285714285714,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,2,2025,PLDI,0.0,14.0,0.0,0.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-2,2021,ICFP,2.0,7.0,0.2857142857142857,28.57142857142857,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-2,2021,POPL,2.0,7.0,0.2857142857142857,28.57142857142857,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-2,2021,OOPSLA,1.0,7.0,0.14285714285714285,14.285714285714285,0.0
