event_unit_id,researcher_id,name,conference,analysis_conference,pc_year,baseline_source_share,baseline_defined_years,pc_year_source_share,pc_year_delta_source_share,pc_year_citations,pc_year_total_studied_citations,pc_year_source_share_pct,pc_year_delta_source_share_pp
boryuhevanchang|OOPSLA|2019,boryuhevanchang,Bor-Yuh Evan Chang,OOPSLA,OOPSLA,2019,0.6666666666666666,1,0.3684210526315789,-0.2982456140350877,7.0,19.0,36.84210526315789,-29.82456140350877
boryuhevanchang|POPL|2020,boryuhevanchang,Bor-Yuh Evan Chang,POPL,POPL,2020,0.2222222222222222,1,0.2222222222222222,0.0,2.0,9.0,22.22222222222222,0.0
brandonlucia|OOPSLA|2019,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,0.7692307692307693,1,0.5217391304347826,-0.24749163879598668,24.0,46.0,52.17391304347826,-24.74916387959867
brigittepientka|POPL|2023,brigittepientka,Brigitte Pientka,POPL,POPL,2023,0.4166666666666667,1,0.058823529411764705,-0.35784313725490197,1.0,17.0,5.88235294117647,-35.78431372549019
brunooliveira|ICFP|2019,brunooliveira,Bruno C. d. S. Oliveira,ICFP,ICFP,2019,0.5,1,0.29411764705882354,-0.20588235294117646,5.0,17.0,29.411764705882355,-20.588235294117645
calvinsmith|PLDI|2022,calvinsmith,Calvin Smith,PLDI,PLDI 2021 onward,2022,0.0,1,0.25,0.25,2.0,8.0,25.0,25.0
carolinelemieux|PLDI|2022,carolinelemieux,Caroline Lemieux,PLDI,PLDI 2021 onward,2022,0.0,1,0.4,0.4,4.0,10.0,40.0,40.0
cedricfournet|POPL|2020,cedricfournet,Cédric Fournet,POPL,POPL,2020,0.6904761904761905,1,0.22580645161290322,-0.4646697388632872,7.0,31.0,22.58064516129032,-46.466973886328724
charliecurtsinger|PLDI|2021,charliecurtsinger,Charlie Curtsinger,PLDI,PLDI 2021 onward,2021,0.5,1,0.0,-0.5,0.0,1.0,0.0,-50.0
chrisseaton|PLDI|2020,chrisseaton,Chris Seaton,PLDI,PLDI before 2021,2020,0.16666666666666666,1,,,0.0,0.0,,
christinerizkallah|ICFP|2021,christinerizkallah,Christine Rizkallah,ICFP,ICFP,2021,0.4,1,0.4,0.0,2.0,5.0,40.0,0.0
christinetasson|POPL|2020,christinetasson,Christine Tasson,POPL,POPL,2020,0.75,1,1.0,0.25,6.0,6.0,100.0,25.0
christopherpulte|POPL|2023,christopherpulte,Christopher Pulte,POPL,POPL,2023,0.25,1,0.36363636363636365,0.11363636363636365,4.0,11.0,36.36363636363637,11.363636363636365
christophmatheja|POPL|2023,christophmatheja,Christoph Matheja,POPL,POPL,2023,0.44,1,0.16666666666666666,-0.2733333333333333,5.0,30.0,16.666666666666664,-27.333333333333332
