referenced_work_id,fetch_status,has_work,n_authorships,publication_year
W1484977481,fetched_singleton,True,4,2014.0
W1484997341,fetched_singleton,True,1,1999.0
W1485085238,fetched_singleton,True,2,2009.0
W1485150864,fetched_singleton,True,2,2010.0
W1485153875,fetched_singleton,True,1,1995.0
W1485257692,fetched_singleton,True,1,2010.0
W1485266398,fetched_singleton,True,1,2010.0
W1485366229,fetched_singleton,True,5,1999.0
W1485372940,fetched_singleton,True,3,1998.0
W1485446097,fetched_singleton,True,1,2010.0
W1485488016,fetched_singleton,True,4,2009.0
W1485511365,fetched_singleton,True,2,2006.0
W1485572331,fetched_singleton,True,3,2010.0
W1485585934,fetched_singleton,True,3,1997.0
W1485595694,fetched_singleton,True,0,1990.0
W1485629610,fetched_singleton,True,1,1994.0
W1485665416,fetched_singleton,True,1,2008.0
W1485825789,fetched_singleton,True,3,2001.0
W1485912969,fetched_singleton,True,6,2015.0
W1485989058,fetched_singleton,True,2,2006.0
W1486044528,fetched_singleton,True,1,1977.0
W1486095773,fetched_singleton,True,3,2001.0
W1486129321,fetched_singleton,True,3,2010.0
W1486132939,fetched_singleton,True,2,2012.0
W1486172410,fetched_singleton,True,4,2021.0
W1486178352,fetched_singleton,True,3,2002.0
W1486206340,fetched_singleton,True,3,2003.0
W1486252159,fetched_singleton,True,4,2005.0
W1486287063,fetched_singleton,True,5,2010.0
W1486289306,fetched_singleton,True,3,2006.0
W1486298687,fetched_singleton,True,3,2009.0
W1486310769,fetched_singleton,True,1,1997.0
W1486382412,fetched_singleton,True,4,2009.0
W1486384786,fetched_singleton,True,1,1987.0
W1486426841,fetched_singleton,True,4,2013.0
W1486467881,fetched_singleton,True,2,2006.0
W1486467946,fetched_singleton,True,1,2000.0
W1486558830,fetched_singleton,True,4,2009.0
W148663991,fetched_singleton,True,4,2013.0
W1486705761,fetched_singleton,True,2,2006.0
W1486852018,fetched_singleton,True,3,2000.0
W1486902566,fetched_singleton,True,3,2008.0
W1486945548,fetched_singleton,True,3,2001.0
W1487051037,fetched_singleton,True,3,2012.0
W1487069808,fetched_singleton,True,1,2008.0
W1487166760,fetched_singleton,True,1,1990.0
W1487202929,fetched_singleton,True,4,2013.0
W1487204394,fetched_singleton,True,1,2000.0
W1487251594,fetched_singleton,True,2,2002.0
W1487278226,fetched_singleton,True,6,2007.0
W1487314578,fetched_singleton,True,1,2005.0
W1487337216,fetched_singleton,True,6,2011.0
W1487351738,fetched_singleton,True,1,2009.0
W1487375638,fetched_singleton,True,2,2004.0
W1487410109,fetched_singleton,True,8,1975.0
W1487472891,fetched_singleton,True,2,1992.0
W1487580670,fetched_singleton,True,2,1994.0
W1487583155,fetched_singleton,True,3,1998.0
W1487657751,fetched_singleton,True,4,2002.0
W1487664366,fetched_singleton,True,1,1992.0
W1487717359,fetched_singleton,True,1,1995.0
W1487721031,fetched_singleton,True,2,1999.0
W1487976902,fetched_singleton,True,4,2006.0
W1487998695,fetched_singleton,True,1,2005.0
W1488058190,fetched_singleton,True,3,2005.0
W1488210308,fetched_singleton,True,1,1995.0
W1488252886,fetched_singleton,True,1,1970.0
W1488349677,fetched_singleton,True,1,2009.0
W1488356979,fetched_singleton,True,4,2004.0
