title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
aeneas rust verification by functional translation,3,Aeneas: Rust verification by functional translation,W4283019774; W6912785687; W6929368195,2022,38
modular higher order cardinality analysis in theory and practice,3,"Modular, higher-order cardinality analysis in theory and practice",W2038401271; W2573436692; W4234739870,"2014, 2017",38
revised report on the algorithmic language algol 60,3,Revised report on the algorithmic language ALGOL 60,W2029785386; W2104416102; W2171727886,"1963, 1997",38
green,3,Green,W1990880047; W2114703523; W4238977659,"2010, 2012",37
dynamic witnesses for static type errors or ill typed programs usually go wrong,3,"Dynamic witnesses for static type errors (or, Ill-Typed Programs Usually Go Wrong)",W2804829712; W2953389284; W2996075572,"2016, 2018",36
efficient on the fly data race detection in multithreaded c programs,3,Efficient on-the-fly data race detection in multithreaded C++ programs,W1487375638; W2072419942; W3091178001,"2003, 2004",36
how to make ad hoc proof automation less ad hoc,3,How to make ad hoc proof automation less ad hoc,W2086221190; W2137076681; W4214826241,"2011, 2013",36
propositions as sessions,3,Propositions as sessions,W2138552902; W2153557668; W3005030212,"2012, 2014",36
precise subtyping for synchronous multiparty sessions,3,Precise subtyping for synchronous multiparty sessions,W2259090870; W2908355402; W2963326822,"2016, 2018",35
software transactional memory,3,Software transactional memory,W2045506295; W2092911542; W2769656678,"1995, 1997, 2008",33
