canonical_researchr_id,pc_name,mapped_name_for_matching,query_source,candidate_rank,candidate_ref_author_name,manual_decision,manual_notes
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,original_name,5,Zheng Zhang,acceptandmerge,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,mapped_name,6,Zheng Zhang,,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,original_name,7,Ziheng Zhang,acceptandmerge,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,mapped_name,8,Ziheng Zhang,,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,original_name,9,Eddie Zhang,,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,mapped_name,10,Eddie Zhang,acceptandmerge,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,original_name,11,Zhen Zhang,,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,mapped_name,12,Zhen Zhang,,
eliotmoss,Eliot Moss,Eliot Moss,original_name,1,Eliot B. Moss,acceptandmerge,
eliotmoss,Eliot Moss,Eliot Moss,mapped_name,2,Eliot B. Moss,,
eliotmoss,Eliot Moss,Eliot Moss,original_name,3,J. Eliot B. Moss,acceptandmerge,
eliotmoss,Eliot Moss,Eliot Moss,mapped_name,4,J. Eliot B. Moss,,
eliotmoss,Eliot Moss,Eliot Moss,original_name,5,Eliot Mir,,
eliotmoss,Eliot Moss,Eliot Moss,mapped_name,6,Eliot Mir,,
eliotmoss,Eliot Moss,Eliot Moss,original_name,7,J. Eliot,acceptandmerge,
eliotmoss,Eliot Moss,Eliot Moss,mapped_name,8,J. Eliot,,
eliotmoss,Eliot Moss,Eliot Moss,original_name,9,Sean Moss,,
eliotmoss,Eliot Moss,Eliot Moss,mapped_name,10,Sean Moss,,
eliotmoss,Eliot Moss,Eliot Moss,original_name,11,B. Moss,,
eliotmoss,Eliot Moss,Eliot Moss,mapped_name,12,B. Moss,,
frankfu,Frank Fu,Frank Fu,original_name,1,Frank F. Xu,,
frankfu,Frank Fu,Frank Fu,mapped_name,2,Frank F. Xu,,
frankfu,Frank Fu,Frank Fu,original_name,3,H. Frank,,
frankfu,Frank Fu,Frank Fu,mapped_name,4,H. Frank,,
frankfu,Frank Fu,Frank Fu,original_name,5,Frank Huch,,
frankfu,Frank Fu,Frank Fu,mapped_name,6,Frank Huch,,
frankfu,Frank Fu,Frank Fu,original_name,7,Frank Dürr,,
frankfu,Frank Fu,Frank Fu,mapped_name,8,Frank Dürr,,
frankfu,Frank Fu,Frank Fu,original_name,9,Rainey Fu,,
frankfu,Frank Fu,Frank Fu,mapped_name,10,Rainey Fu,,
frankfu,Frank Fu,Frank Fu,original_name,11,Frank Li,,
frankfu,Frank Fu,Frank Fu,mapped_name,12,Frank Li,,
gailkaiser,Gail Kaiser,Gail Kaiser,original_name,1,Gail E. Kaiser,accept,
gailkaiser,Gail Kaiser,Gail Kaiser,mapped_name,2,Gail E. Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,original_name,3,Jonas Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,mapped_name,4,Jonas Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,original_name,5,Łukasz Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,mapped_name,6,Łukasz Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,original_name,7,Alexander Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,mapped_name,8,Alexander Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,original_name,9,Claude Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,mapped_name,10,Claude Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,original_name,11,Markus Kaiser,,
gailkaiser,Gail Kaiser,Gail Kaiser,mapped_name,12,Markus Kaiser,,
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,original_name,1,Gang Tan,accept,
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,mapped_name,2,Gang Tan,,
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,original_name,3,Guangming Tan,,
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,mapped_name,4,Guangming Tan,,
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,original_name,5,Bryan Tan,,
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,mapped_name,6,Bryan Tan,,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,original_name,1,Gilbert Bernstein,accept,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,mapped_name,2,Gilbert Bernstein,,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,original_name,3,Daniel S. Bernstein,,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,mapped_name,4,Daniel S. Bernstein,,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,original_name,5,Michael S. Bernstein,,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,mapped_name,6,Michael S. Bernstein,,
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,original_name,7,Arthur Bernstein,,
